time,open,high,low,close
01-01-2024 09:15,19500,19511.13,19492.49,19509.44
01-01-2024 09:20,19509.44,19526.46,19502.78,19505.3
01-01-2024 09:25,19505.3,19531.33,19493.82,19514.63
01-01-2024 09:30,19514.63,19521.06,19499.74,19517.47
01-01-2024 09:35,19517.47,19537.24,19502.12,19506.66
01-01-2024 09:40,19506.66,19522.5,19489.34,19509.75
01-01-2024 09:45,19509.75,19524.34,19496.16,19500.79
01-01-2024 09:50,19500.79,19506.5,19484.02,19484.45
01-01-2024 09:55,19484.45,19500.97,19462.98,19479.91
01-01-2024 10:00,19479.91,19498.22,19454.52,19495.38
01-01-2024 10:05,19495.38,19506.6,19477.72,19480.1
01-01-2024 10:10,19480.1,19501.04,19459.59,19491.62
01-01-2024 10:15,19491.62,19508.23,19477.97,19479.58
01-01-2024 10:20,19479.58,19485.48,19454.82,19472.19
01-01-2024 10:25,19472.19,19499.41,19444.08,19478.09
01-01-2024 10:30,19478.09,19485.67,19452.21,19469.25
01-01-2024 10:35,19469.25,19484.03,19449.03,19472.27
01-01-2024 10:40,19472.27,19495.78,19462.56,19467.61
01-01-2024 10:45,19467.61,19490.95,19462.44,19466.05
01-01-2024 10:50,19466.05,19492.17,19450.66,19469.88
01-01-2024 10:55,19469.88,19497.65,19445.84,19484.78
01-01-2024 11:00,19484.78,19503.97,19472.09,19490.83
01-01-2024 11:05,19490.83,19496.1,19463.09,19463.99
01-01-2024 11:10,19463.99,19472.36,19441.76,19466.92
01-01-2024 11:15,19466.92,19482.35,19457.18,19461.46
01-01-2024 11:20,19461.46,19471.3,19441.16,19463.1
01-01-2024 11:25,19463.1,19475.06,19454.01,19460.76
01-01-2024 11:30,19460.76,19468.48,19451.48,19453.8
01-01-2024 11:35,19453.8,19473.14,19432.8,19438.53
01-01-2024 11:40,19438.53,19455.42,19429.55,19450.24
01-01-2024 11:45,19450.24,19466.27,19443.72,19444.23
01-01-2024 11:50,19444.23,19450.37,19430.29,19446.06
01-01-2024 11:55,19446.06,19461.09,19421.07,19431.56
01-01-2024 12:00,19431.56,19459.15,19414.45,19429.28
01-01-2024 12:05,19429.28,19458.93,19402.46,19412.41
01-01-2024 12:10,19412.41,19428.9,19398.04,19426.7
01-01-2024 12:15,19426.7,19444.26,19415.88,19433.67
01-01-2024 12:20,19433.67,19459.57,19409.53,19442.88
01-01-2024 12:25,19442.88,19471.93,19415.04,19446.34
01-01-2024 12:30,19446.34,19456.22,19422.12,19450.68
01-01-2024 12:35,19450.68,19468.3,19444.08,19452.14
01-01-2024 12:40,19452.14,19459.94,19444.82,19459.22
01-01-2024 12:45,19459.22,19464.62,19440.48,19453.01
01-01-2024 12:50,19453.01,19475.58,19438.22,19451.19
01-01-2024 12:55,19451.19,19475.86,19445.51,19459.21
01-01-2024 13:00,19459.21,19481.17,19429.61,19450.65
01-01-2024 13:05,19450.65,19470.56,19429.11,19443.39
01-01-2024 13:10,19443.39,19472.22,19435.58,19440.67
01-01-2024 13:15,19440.67,19458.77,19416,19448.81
01-01-2024 13:20,19448.81,19469.42,19435.9,19438.23
01-01-2024 13:25,19438.23,19454.81,19418.66,19433.2
01-01-2024 13:30,19433.2,19443.21,19426.32,19431.99
01-01-2024 13:35,19431.99,19456.81,19423.63,19455.86
01-01-2024 13:40,19455.86,19484.54,19447.2,19466.75
01-01-2024 13:45,19466.75,19484.88,19437.84,19465.41
01-01-2024 13:50,19465.41,19481.88,19459.53,19471.43
01-01-2024 13:55,19471.43,19481.52,19465.91,19472.67
01-01-2024 14:00,19472.67,19483.99,19461.58,19469.47
01-01-2024 14:05,19469.47,19481.86,19459.08,19459.71
01-01-2024 14:10,19459.71,19483.35,19436.46,19452.7
01-01-2024 14:15,19452.7,19458.12,19438.53,19443.39
01-01-2024 14:20,19443.39,19455.22,19419.48,19437.75
01-01-2024 14:25,19437.75,19462.99,19432.73,19432.81
01-01-2024 14:30,19432.81,19444.89,19414.9,19424.3
01-01-2024 14:35,19424.3,19431.9,19418.67,19426.81
01-01-2024 14:40,19426.81,19439.65,19398.86,19422.31
01-01-2024 14:45,19422.31,19428.76,19399.53,19411.41
01-01-2024 14:50,19411.41,19435.08,19394.69,19398.82
01-01-2024 14:55,19398.82,19412.8,19385.46,19401.87
01-01-2024 15:00,19401.87,19407.22,19384.38,19394.56
01-01-2024 15:05,19394.56,19408.08,19379.97,19391.04
01-01-2024 15:10,19391.04,19405.07,19377.47,19378.36
01-01-2024 15:15,19378.36,19408.01,19357.26,19386.98
01-01-2024 15:20,19386.98,19394.2,19361.07,19393.34
01-01-2024 15:25,19393.34,19418.61,19388.05,19416.87
01-01-2024 15:30,19416.87,19444.01,19402.7,19441.82
02-01-2024 09:15,19441.82,19463.11,19414.51,19460.15
02-01-2024 09:20,19460.15,19474.16,19446.71,19469.32
02-01-2024 09:25,19469.32,19498.1,19440.97,19491.87
02-01-2024 09:30,19491.87,19506.05,19462.24,19501.68
02-01-2024 09:35,19501.68,19507.75,19494.13,19497.74
02-01-2024 09:40,19497.74,19503.87,19473.88,19493.94
02-01-2024 09:45,19493.94,19508.62,19484.32,19487.95
02-01-2024 09:50,19487.95,19510.73,19465.39,19492.77
02-01-2024 09:55,19492.77,19499.71,19477.56,19492.87
02-01-2024 10:00,19492.87,19504.38,19482.1,19502.66
02-01-2024 10:05,19502.66,19523.19,19492.49,19505.5
02-01-2024 10:10,19505.5,19512.73,19498.13,19498.46
02-01-2024 10:15,19498.46,19505.95,19487.58,19496.08
02-01-2024 10:20,19496.08,19504.38,19481.68,19503.35
02-01-2024 10:25,19503.35,19516.83,19496.96,19503.95
02-01-2024 10:30,19503.95,19520.85,19490.59,19512.88
02-01-2024 10:35,19512.88,19518.93,19500.45,19507.77
02-01-2024 10:40,19507.77,19524,19490.3,19510.53
02-01-2024 10:45,19510.53,19528.77,19489.56,19501.39
02-01-2024 10:50,19501.39,19527.71,19492.3,19499.21
02-01-2024 10:55,19499.21,19522.7,19474.87,19518.66
02-01-2024 11:00,19518.66,19532.89,19496.14,19512.59
02-01-2024 11:05,19512.59,19534.99,19495.93,19513.28
02-01-2024 11:10,19513.28,19535.14,19505.38,19505.86
02-01-2024 11:15,19505.86,19517.01,19480.88,19511.44
02-01-2024 11:20,19511.44,19521.17,19493.01,19512.9
02-01-2024 11:25,19512.9,19533.16,19483.22,19506.71
02-01-2024 11:30,19506.71,19527.55,19492.62,19506.46
02-01-2024 11:35,19506.46,19512.09,19484.51,19493.39
02-01-2024 11:40,19493.39,19516.93,19470.26,19484.5
02-01-2024 11:45,19484.5,19495.17,19455.2,19486.32
02-01-2024 11:50,19486.32,19514.88,19464.1,19472.58
02-01-2024 11:55,19472.58,19483.52,19459.96,19473.19
02-01-2024 12:00,19473.19,19500.18,19455.69,19491.2
02-01-2024 12:05,19491.2,19518.41,19466.94,19477.87
02-01-2024 12:10,19477.87,19489.3,19458.87,19481.53
02-01-2024 12:15,19481.53,19490.95,19466.64,19472.41
02-01-2024 12:20,19472.41,19487,19455.23,19470.91
02-01-2024 12:25,19470.91,19494.85,19459.93,19466.94
02-01-2024 12:30,19466.94,19495.12,19460.81,19463.1
02-01-2024 12:35,19463.1,19490.14,19435.7,19489.65
02-01-2024 12:40,19489.65,19514.93,19472.29,19484.39
02-01-2024 12:45,19484.39,19498.54,19474.95,19488.65
02-01-2024 12:50,19488.65,19504.01,19476.36,19496.43
02-01-2024 12:55,19496.43,19525.54,19483.84,19496.43
02-01-2024 13:00,19496.43,19508.5,19468.67,19474.44
02-01-2024 13:05,19474.44,19492.19,19459.4,19491.92
02-01-2024 13:10,19491.92,19519.93,19477,19480.88
02-01-2024 13:15,19480.88,19497.19,19468.69,19478.1
02-01-2024 13:20,19478.1,19490.63,19467.42,19479.43
02-01-2024 13:25,19479.43,19507.53,19470.82,19492.07
02-01-2024 13:30,19492.07,19507.13,19462.18,19471.55
02-01-2024 13:35,19471.55,19494.5,19442.69,19451.25
02-01-2024 13:40,19451.25,19478.57,19425.05,19478.38
02-01-2024 13:45,19478.38,19501.77,19457.3,19482.28
02-01-2024 13:50,19482.28,19498.68,19469.52,19498.59
02-01-2024 13:55,19498.59,19525.35,19492.43,19497.03
02-01-2024 14:00,19497.03,19517.03,19484,19496.13
02-01-2024 14:05,19496.13,19516.94,19489.82,19502.31
02-01-2024 14:10,19502.31,19521.06,19481.62,19517.37
02-01-2024 14:15,19517.37,19528.69,19505.21,19509.88
02-01-2024 14:20,19509.88,19539.41,19494.82,19528.33
02-01-2024 14:25,19528.33,19547.71,19511.41,19523.97
02-01-2024 14:30,19523.97,19548.18,19511.05,19529.76
02-01-2024 14:35,19529.76,19545.82,19502.46,19517.29
02-01-2024 14:40,19517.29,19523.55,19499.17,19504.86
02-01-2024 14:45,19504.86,19531.97,19481.82,19529.89
02-01-2024 14:50,19529.89,19538.16,19509.1,19514.94
02-01-2024 14:55,19514.94,19542.35,19493.01,19507.75
02-01-2024 15:00,19507.75,19535.83,19485.58,19516.03
02-01-2024 15:05,19516.03,19524.04,19490.75,19492.95
02-01-2024 15:10,19492.95,19515.87,19480.64,19504.37
02-01-2024 15:15,19504.37,19514.72,19486.76,19494
02-01-2024 15:20,19494,19504.97,19483.44,19483.53
02-01-2024 15:25,19483.53,19511.67,19473.9,19501.37
02-01-2024 15:30,19501.37,19519.01,19476.28,19495.85
03-01-2024 09:15,19495.85,19501.56,19472.73,19478.72
03-01-2024 09:20,19478.72,19497.9,19461.28,19466.02
03-01-2024 09:25,19466.02,19494.29,19453.65,19492.09
03-01-2024 09:30,19492.09,19509.06,19462.47,19464.59
03-01-2024 09:35,19464.59,19489.61,19457.78,19485.91
03-01-2024 09:40,19485.91,19503.5,19478.59,19489.71
03-01-2024 09:45,19489.71,19509.68,19473.72,19507.86
03-01-2024 09:50,19507.86,19517.12,19494.19,19500.18
